id,date,text,language
1969912891831939529,2025-09-21 23:53:27,anong gusto mo gawin niya makipagbarda sa mga pulis utak mo may ubo,tl
1969906492611645849,2025-09-21 23:28:01,grabe na hutoy sa ubo thanks mama cels sa pag hilot sako,ceb
1969906030298763648,2025-09-21 23:26:11,ubo_ub masedenver trautman sucks ass,ro
1969904337368256777,2025-09-21 23:19:27,masedenver masedenver thoughts on the officiating crew tonight that nonexisting trautman offsides negated a crucial 1st down,en
1969903982794743937,2025-09-21 23:18:03,viclombardi broncos altitudetv horrible game when it comes to the vibe and a very demoralizing way to begin the season nix was the opposite of clutch and horrible on deep throws defense really needs a quality ilb on top of it all a biased referee crew lot of season left but hard to be positive rn,en
1969901404925087862,2025-09-21 23:07:48,may caption na lahat yung video hindi pa rin inintindi malay pa ba nya san galing pinambili at pinangsupport sa restaurant nya kakain lang sa restau nya papabackground check ba dapat utak nito may ubo,tl
1969900378004344989,2025-09-21 23:03:43,masedenver and some of those 10 were fully made up,en
1969900001779495319,2025-09-21 23:02:14,nellygbasco lorasantos11 rest muna need rest inihit ulit ng ubo aldubampadn stronger together aldub pa rin boycotteatbulaga1657 httpstcob2mglxiz7l,tl
1969899198511280211,2025-09-21 22:59:02,masedenver why do these refs hate us so much,en
1969897980585984084,2025-09-21 22:54:12,milehighmims these refs are so biased that trautman penalty was not offside,en
1991652673280454665,2025-11-20 23:39:35,argustop2 sana makahanap ka ng may lagnat dahil kaka activate lang ng hiv niya kaya nilalagnat jahjaa sami nyo alam,tl
1991646989214445940,2025-11-20 23:16:59,ga aksyon mani ubo ug sipon ako bb uy,tl
1991637648923070610,2025-11-20 22:39:52,dbdefender finamay25 phcinemaqueen si alden lng ang ng dala kaya kumita yan movie ni pusa yun solo niya kumita ba ng malaki eh ng sisigaw lng naman siya dun panget ng itsura parang ivil si pusa ngn kung mag salita ngon ngon binabaliktad ninyo parang laging may sipon,tl
1991626497883595208,2025-11-20 21:55:34,libertango httpstcokfakctwz5x,en
1980785447598215400,2025-10-21 23:57:06,pag may ubo n mag mask n tang inez kala mo naman ganda ganda eh,tl
1980785232682053718,2025-10-21 23:56:15,tinamaan na nga ng sipon hahaha,tl
1980784898345750864,2025-10-21 23:54:55,jcsgolden di yan maiintindihan ni nichol may ubo sa utak,tl
1980779322593140959,2025-10-21 23:32:46,layag na naman mikhaiah parang nawala lagnat ko dahil sa inyo,tl
1980778548584673404,2025-10-21 23:29:41,lagnat,sv
1980769342842171572,2025-10-21 22:53:06,ayuyashupa kimmonismus ya obviously on a phone brave is the best browser by far but on pc with the ability to instal extensions like ubo and other stuff its not as important but i do still use brave anyways since why not,en
1980765557549838456,2025-10-21 22:38:04,bossmilica novarsonline ona jurila kolegu nozem da ubada i jos nije u zatvor maloumnica httpstcoq8lzxxjnf3,sr
1980763448763175059,2025-10-21 22:29:41,tangina di ko alam kelan pa ako last na nakatawa nang maayos dahil sa ubo n to bwiset,tl
1980763186401014217,2025-10-21 22:28:39,tko promoted canelo vs crawford on netflix a fight worth hundreds of millions of dollars without having to amend the ali act so why the need for the ubo to use market position with tkos multimonopoly to use a government carveout to isolate all available investment cash,en
1980763184823984160,2025-10-21 22:28:38,the bitter irony of ubo marketing is that its an inverted spin of the public option during obamacare negotiations instead of giving americans a government health care option maabratko is giving boxing a corporatized carve out from current protections by screaming choice,en
1980757969470939320,2025-10-21 22:07:55,objektivna_np gledaj httpstcoq8lzxxjnf3,sl
1991614583975665824,2025-11-20 21:08:13,lahat ba may ubo na,en
1991607342052548745,2025-11-20 20:39:27,off to laguna tapos ganito kaaga additional yung sipon at ubo,en
1991604907993088198,2025-11-20 20:29:46,bluemoon_dom rozanek co presne to meni na tom ze cokoliv si jakkoliv z te firmy ubo vyplati bude nakonec v nejake zemi zdaneno tak ci onak,cs
1991599594787205293,2025-11-20 20:08:40,dustyhades ericisinsf kane lol ubo for all is it,en
1991582363059646589,2025-11-20 19:00:11,ubo welcomes coach neil ring ring a catcher at spring hill college amp bsk lisjaki in slovenia since playing ring has coached at the independent collegiate amp high school levels most recently at holy cross school welcome coach ring where our focus is always on u httpstcotqaxdp7957,en
1991581151438467380,2025-11-20 18:55:22,lintek na buhay kailan ba mawawala tong sipon k,en
1991579986596347952,2025-11-20 18:50:45,bluemoon_dom rozanek ano ale za normalni sluzby ktere ty dcery matkam poskytuji ne uz tak kapesne pro pana majitele i kdyby tak to nic nemeni na tom ze nakonec to nejak stejne zdani ubo tam kde ma svoji rezidenci,cs
1991578971214082252,2025-11-20 18:46:43,ubo pa more,en
1991571329909412010,2025-11-20 18:16:21,kelan ba mawawala lagnat quoh,en
