"message","post_id","timestamp","reactions_count"
"Mga Dapat Gawin Kapag may Lagnat ang Baby (0–12 Months) 👶🌡️

Kapag may lagnat ang baby, natural lang na kabahan ang mga magulang—lalo na kung siya ay 0–12 months pa lamang. Dahil maselan pa ang katawan ni baby, mahalagang tama at ligtas ang mga hakbang na gagawin.

✅ Mga DAPAT Gawin

🌡️ 1. Sukatin ang temperatura ni baby
Normal na body temperature: 36.5°C – 37.5°C
👉 Lagnat kung 38°C pataas.
Mas mainam gumamit ng digital thermometer.

🍼 2. Padedehin nang mas madalas
Kung breastfed, ituloy ang breastfeeding.
Nakakatulong ito laban sa dehydration at nagpapalakas ng resistensya.

👕 3. Bihisan ng preskong damit
Iwasan ang makapal na damit o kumot.
Panatilihing komportable at hindi naiinitan si baby.

🛏️ 4. Bigyan ng sapat na pahinga
Hayaan si baby na magpahinga at matulog hangga’t kaya.
Mas mabilis gumaling ang katawan kapag may pahinga.

🧴 5. Punasan ng maligamgam na tubig (Tepid Sponge)
Punasan ang leeg, kilikili, at singit.
❌ Huwag gumamit ng malamig na tubig o alcohol.

💊 6. Gamot kung may payo ng doktor
Paracetamol lamang ang karaniwang ligtas para sa baby—ayon sa tamang dose at reseta ng doktor.

❌ Mga HINDI DAPAT Gawin

🚫 Huwag basta magbigay ng gamot nang walang payo ng doktor
🚫 Huwag balutin ng makapal na kumot
🚫 Huwag pahiran ng alcohol ang katawan
🚫 Huwag ipagwalang-bahala ang matagal o paulit-ulit na lagnat

🚨 Kailan DAPAT Dalhin agad kay Doctor?

⚠️ Kung ang baby ay:
0–3 months at may lagnat kahit isang beses
May lagnat na lampas 38.5°C
May seizure/kinukumbulsyon
Matamlay, ayaw dumede, o iritable
May kasamang ubo, sipon, pagtatae, o pagsusuka
Lagnat na higit 24–48 oras

💬 Paalala sa mga Magulang:
Ang lagnat ay sintomas, hindi sakit. Senyales ito na may nilalabanan ang katawan ni baby. Mas mahalaga ang maagang pag-obserba at tamang pag-aalaga.

👶🤍 Mommy at Daddy, sapat na ang inyong pagmamahal—dagdagan lang ng tamang kaalaman.

#LagnatNiBaby #BabyCarePH #mom2th
#mamaslove  #BabyHealth #momlifehacks","4234805846762213","1769315347","1178"
"mga mii, normal langba pa balik balik lagnat ne baby .. teething stage na kasi Siya😔","1989725038640084","1770306253","19"
"Wag ipagsawalang bahala ang simpleng ubo at lagnat lalo na pag bata. Fly high 3yrs old little boy 🕊️ 🕊️ #Katusok","26084263801204435","1771491406","14071"
"AWARENESS FOR RABIES ‼️

My kuya was bitten by a puppy last September 18, 2025. Hindi siya nagpa-inject kasi siguro iniisip niya na tuta lang iyon, kaya wala rabies. But a lot of people told him to get anti-rabies vaccine kasi namatay ang puppy after siyang makagat. Namatay ang aso na may bula-bula ang bibig which is a sign that the puppy was infected with rabies.
But sadly, binalewala ng kuya 😢 (WALA KAMING IDEA NA NAKAGAT SIYA NG ASO, AT HINDI SIYA NAG-OPEN SA AMIN.)

January 2026, palagi nang umiinda ang kuya na medyo masama raw ang pakiramdam niya, kaya akala namin simpleng lagnat lang.

February 1, 2026, nag-visit ako sa bahay. Bigla niyang sinabi sa akin na masakit daw yung tiyan niya parang pinipiga ang bituka niya kapag kumakain siya. Nahihirapan din siyang lumunok at masakit ang lalamunan niya. Inadvise ko siyang magpa-check up kasi baka dahil sa mga kinakain niya o resulta ng palagi niyang pag-inom.

February 15, 2026, sinugod na si kuya sa hospital kasi nahihirapan na siyang huminga 😢 Doon lang namin nalaman na nakagat pala siya ng tuta last year pa 😭 Wala pang 24 hours, binawian agad ng buhay ang kuya, dahil kumalat na ang infection sa utak niya 😞

Grabe ang sakit, at biglaan ang lahat, Kuya. Pasensya na kung hindi ako bumisita. Kung pwede lang, kung kaya ko lang na makita kang nahihirapan huminga, pero hindi, hindi ko kaya💔 pasensiya narin kung hindi kita nadalhan ng gusto mong pag kain. 

Kuya mahal na mahal ka namin at palagi kang nasa puso naming mga kapatid mo🕊️❤️‍🩹

PS: KUNG MERON MANG NAKAGAT NG ASO O PUSA AT KAHIT KALMOT LANG MAS MAINAM NA MAG PA ANTI RABIES AGAD PARA MAIWASAN ANG PAG KALAT NG RABIES SA KATAWAN‼️","2531940147243104","1771169950","6405"
"Napakabisang gamot sa ubo, sipon, lagnat o trangkaso at makating lalamunan ang pinagsamang bawang, sibuyas, luya at Lemon na ibinabad sa honey. Napaka epektibo, maraming bitamina at super effective na organic herbal medicine. #fbviralpost","856786103906459","1768515166","864"
"unang lagnat ngayong 2026 😅😅😅","1643906503353461","1770635962","3"
"lambing yung hinihingi ko lagnat yung binigay (#)","122165055374441213","1754308395","404"
"lambing gusto ko e, lagnat binigay","1379288600381212","1758620337","251"
"Pano po malalaman my lagnat ang shih ko?.,matamlay kc sya tapos mainit sya ano kaya pwedi gamot","1449020499969860","1767425462","33"
"Ano na naman kaya ang nilalaganat ng baby ko, 
#thermometer #lagnat","4721283491431616","1770539025","19"
"Ano na naman kaya ang nilalaganat ng baby ko, 
#thermometer #lagnat","4721283491431616","1770539025","19"
"tanginang lagnat to long lasting","1403569148037875","1761382426","606"
"Kaya pala halos hindi gumagaling lagnat ko nagka dengue na pala ko buti nalang nawala yung lagnat ko ang prblma ko nlng ung platelet ko araw araw bumababa kaya khit wala ng lagnat kaylangan i admit, 3 hospital na yung napuntahan namin punoon din dahil sa maraming ngkkasakit at my dengue kaya ingat po ang lahat, kahapon pa po ako nakalabas ng hospital at ok na din pakiramdam 🙏","1524831005423358","1765018733","123"
"putangina sa edad kong to naiiyak pa ako sa lagnat","740404455709547","1758364004","14863"
"naisip ko lang, what if may ka-live in na me ganern tapos nilagnat ako, tapos gusto ko tabi pa rin kami pero sabi niya “eh ayoko mahawa pa ‘ko sa ‘yo.” grabe siguro iyak ko niyan, para siguro akong inaapi ng mundo. like?? imagine, may lagnat ka na tapos ayaw ka pang tabihan ng sugarplum mo.","850428894298925","1765552259","25275"
