"created_at","id","text"
"1771805019","3838501173108437570","I Beg of you to change the name of Usher syndrome please. like they changed corona virus to COVID 19 due to confusion with the brand."
"1771804996","3838500978249470064","I Beg of you to change the name of Usher syndrome please. like they changed corona virus to COVID 19 due to confusion with the brand."
"1771777886","3838273568287930837","Congress’ fate in 2027 was already on display at the AI Summit, their “protestors” weren’t heard, they were kicked out by the people.May be it is shape of things to come if the party continues to betray the national cause by blindly and senselessly opposing PM Narendra Modi."
"1771785939","3838340719379805400","Identify the person who kick out corona virus"
"1771780611","3838296390962784666","Aqui reportando,todo encuanto,a los virus que estan por todo lado por si aun usted esta a tiempo de prevenir posiblemente,sea corona virus por que pierces todo sabor y apetito"
"1771697366","3837598116078198169","It was planned.

एपस्टीन फाइल्स : 

बिल गेट्स का जेफरी एपस्टीन को भेजा गया ईमेल  हुआ  लीक, उसमें लिखा था:- 
""महामारी की तैयारी है""

""अगले स्टेप्स पर बात करते हैं, जैसे कि WHO और CDC को ऑफिशियली कैसे इस महामारी के प्लान में शामिल किया जाए। मुझे उम्मीद है कि हम यह कर पाएंगे!"""
"1771768368","3838193723629450956","Bill gates is GUILTY For the spreading CORONA VIRUS paid 65 million dollars to WHO to save his ASS HE is also selling you SYNTHETIC.MUTTON made from BLOOD OF CHILDREN'S D N A SOLD IN ALL AMERICAN OUTLETS IN INDIA 🇮🇳"
"1771759832","3838122115854133700","i think you’re just a retard"
"1771762159","3838141636296229397","So the reason is just because I stated facts? lmao!!!!

Calm down, it’s just facts. Relax!
Happy Corona Virus New Year 🎉"
"1771758305","3838109306995245776","And why should others stop calling it Chinese new year but because you adopted the festival from the Chinese? How would you feel it someone adopted an aspect of Vietnamese culture and then demanded that you stop calling it Vietnamese because they use it too?"
"1771760522","3838127905906299964","Cause it's a global holiday, obvi? You say like just the Chinese people celebrate it. Even the United Nations call it Lunar New Year, just Chinese people think it's theirs and try to make it theirs by adding their country's name. The second part, I think China is a country which wants to make everything theirs. They said kimchi theirs, everything theirs but corona virus"
"1771698644","3837608830872546703","Happy Chinese New Year from Taiwan🧧🇹🇼"
"1771757769","3838104809342403676","Lunar New Year and Chinese Corona Virus"
"1771757572","3838103159135561213","Whatever you said doesn’t harm me, but it can’t change the fact that Koreans like to steal other cultures and traditions. 

For example, they claim Confucius is Korean, chopsticks were invented by Koreans, and then there’s Chef David Chang in the US who applied for a ‘chili crunch’ trademark—only to face pushback from Chinese and Japanese communities…"
"1771757630","3838103643728456406","Monkeys with corona virus are spreading fake news"
"1771750499","3838043824665215494","Who Remembers"
"1771755926","3838089354707469937","Corona Virus fizzy phlegm"
"1771766040","3838174192517597818","I’m getting induced in a week and yall are TERRIFYING MEEE 😫😫😂 from the comments i know that wanting a c section is the right choice because WTFF"
"1771808617","3838531354053179534","The healing from acsection sucks though. Can’t laugh, can’t do nothing. Can’t cough."
"1771772109","3838225106896503644","Gary, Indiana checking in ✔️"
"1771808605","3838531255713842917","Cough cough! No thanks."
"1771808457","3838530013771631833","I have the social energy of a victorian child with a light cough."
"1771808299","3838528687801788931","I know one of my cousins got now that’s tv cough it up or I’m changing the Zeus password 😭😭😭😭😭‼️‼️‼️"
"1771808041","3838526519715538110","Lisa. Leslie. 

People have been saying players names wrong the whole season. (*cough cough* Lish *cough cough*)

You correcting yourself and making sure that everyone knows how to say Za's name properly is really important to me. 

I appreciate you."
"1771807830","3838524755280772500","Why is it that when you have a cold/cough you can’t taste food but take some cough medicine and the taste stays with you forever?"
"1771807445","3838521520599877174","I don't have the flu, my beloved heavenly friends, as I vibrate with you and heal you through the touch of God in the energy field.... as I keep talking, I have asthma, so I cough sometimes, I apologize."
"1771807372","3838520909489793156","My body is still tired, the cough is constant, and I spend most of my day in bed enduring the pain with patience and prayer..
 Please don't forget me in your prayers 🙏🏻❤️‍🩹https://gogetfunding.com/evacuation-to-safety-funds-for-the-odeh-family/"
"1771804116","3838493600074970014","Grieving. My Godfather lost his battle to cancer the morning of valentines day. An angel of a man. Soft spoken. Incredibly sincere. Always thought of other people. Knew how to make you feel heard and seen. Only 63 years. Its unfair. I am devastated and heartbroken. 

Still. 

I haven’t been in the same room as both my parents in 16 years. Can’t remember the last time I saw them smile together since the divorce. (Can you read my mom’s lips in the video? lol)"
"1771804114","3838493578793070799","I got to see my little Godbrother as a man now. My family all together again satisfied something deep in my soul. My Godfather would’ve loved that. Laughter. Memories. Prayer. More grief. Church. The smell of my moms collard greens filling the house. Soft snowfall out the window. More grief. Tears. The squeeze of a hand. A head on a shoulder. A hybrid strain named chicken and waffles. Thats So Raven. A dry cough. The sound of a fork on a plate. Different flavors of pain. And still more grief."
"1771685702","3837500266925603334","I’ve been to the doctor twice and do steam and Vicks daily."
"1771796807","3838432285197716142","Do you smoke? Around smoke?  Wet or dry cough? Seasonal allergies?"
"1771794262","3838410894171503522","Dry cough😢

Disclaimer: Results may vary. This herbal drink is not a substitute for medical advice. If cough continues or worsens, seek professional medical help.

#herbalmedicine
#drycough
#drycoughremedy"
"1771790153","3838376464732108186","My body has been through a lot lately. 3 days of stomach issue; diarrhea & vomiting. Now, it’s mild sinus pressure, dry cough, and missing someone. Can’t sleep!!! 🤧"
"1771786719","3838347665642120836","Hey hon, where are you?? (naliligaw k p din🤭)btw, I woke up late and fine yesterday.. almost missed the window time for my Filgrastim injection (3/7).. Last day for my cough suppressant today but still have dry cough😷..had my hair cut💇‍♀️(shortest in my entire life🫣😂)as part of our journey😉
21.02.2026
#maijourney#10:31☝️41:10☝️
📍🏠"
"1771780754","3838297619769326998","Fever, aches, dry cough, stuffed nose."
"1771779372","3838286027543409631","Okay Thriends!! Give me best home remedies for being stuffy with a dry cough!!! 😷"
"1771713513","3837733564616731538","Anyone else in LA been sick for 10 days with a cough?"
"1771767774","3838188735251668274","Could be dry cough"
"1771759547","3838119723053958782","Dry cough cold"
"1771729249","3837865556770929325","Best home remedy for dry cough and cold #ajwinseedsbenifits #coughremedy #homeremedy #coughsyrup #coughremedy"
"1771808651","3838531644366633904","Observing Drew Barrymore's birthday 🎂 and opening weekend of Spring Training baseball games ⚾️ by watching Fever Pitch."
"1771808265","3838528405499621305","Spent the day deep cleaning, caught up on all the laundry, finished this week’s school work, made cookies for the storm and chocolate chip bread for the morning. Ryker has had a fever all
day and both kids are already sleeping. 

Thankful I am able to work from home tomorrow. Stay safe and warm ❄️"
"1771808196","3838527814279357293","鉄塔に夕日🌅

#fever_colours 
#todo_aviation_ 
#boats_super_pics 
#be_one_colours 
#tv_colors 
jj_colorlove 
color_captures 
ww_colors 
addicted_to_colors 
raw_collage
gw_colours 
universal_prettycolors
fever_colours 
colorful_challenges
atlas_colours
world_bestcolours
lory_country 
just4dots
total_colors 
addicted_to_colors
todo_fulcolor 
bits_colors
atlas_colours 
blooming_colors
world_bestcolours
focus_bestcolors
focus_vehicles"
"1771808086","3838526881868696606","#brixxmediain
#wb_batch_23

#T20WorldCup #T20WC2026 #CricketWorldCup ICCWorldCup
Team Specific: TeamIndia BleedBlue PakCricket CricketAustralia ThreeLions
Viral/Reels: CricketReels CricketFever CricketMeriJaan MatchDay WinningMoment"
"1771698375","3837606580451923394","Being a real lover and missing intimacy/ affection while simultaneously going through an intentional season of singleness and solitude is a fight they don’t tell you about. It’s truly a struggle everyday."
"1771808026","3838526398365806437","I’m traveling through that now… and the bad part is I relocated to a state where none of my family or friends live so I’ve spent weeks alone feeling like I have cabin fever…"
"1771807747","3838524030613275888","Learning “Fever Dream” in less than 3 minutes…?

#alexwarren #newsong #feverdream #music #fyp"
"1771807686","3838523545803227004","My poor baby is sick with a fever again. 🤒"
"1771807506","3838522036231221677","40.2 fever? Kaya yan."
"1771783565","3838321196061085710","two years ago today, chappell roan covering katy perry’s ‘the one that got away’ during soundcheck in san diego, CA for the midwest princess tour 2024!

february 22nd, 2024 

via pinkponygirl"
"1771808057","3838526660141390753","2024 was 2 years ago 🫠
The last two years feel like a fever dream"
"1771807953","3838525784471517484","Life HAS to be a fever dream.. yeah? 😵‍💫"
"1771652209","3837219306237659452","Elder millennials, which movie messed you up the most as a kid? It can be a kids movie or a horror movie you saw too early, anything"
"1771807482","3838521836439493510","Fight club + fever = a bad time 
I couldn’t watch Ed Norton movies for years! And now I have a legit fear of being insane and not knowing it."
"1771541202","3836288111534547326","Asian girls just aren’t pretty. I’ve never seen a hot Asian girl in my life. I don’t care if a bunch of hot Asian ladies reply to this with pictures of themselves. I’ll NEVER be convinced. So don’t bother! Or I’ll be so mad! Grr! So angry! 😡👀"
"1771807432","3838521412353475401","Sorry to say i caught yellow fever livin in San Francisco, no cure!"
"1771807397","3838521120094008240","Let’s talk about the Spider-Man 2002 movie game, because this chaotic masterpiece still lives rent-free in my head.

​Let’s be real, before we got the god-tier, physically accurate swinging in Spider-Man 2, we had THIS absolute fever dream of a game, and it was glorious. 🕸️

​A few things we desperately need to acknowledge:"
"1771806964","3838517476560806499","Today was the last day of @emmasaluja Travel Ball career! Bittersweet moments, with an awesome Dub over Wallingford. I’m so proud by how you showed up, laced up, even though you were sick w/ a high fever 🤜🏽🤛🏽 #TrueWarrior #GoHill #TravelBasketball #OnToTheNextChapter rhtravelbasketball"
"1771805375","3838504161047117736","Pretty sure my son’s coming down with something.one day before I start chemo.Yay. 🙃🙃🙃🙃"
"1771806883","3838516808232337326","Wednesday is my final chemo and my daughter has a fever today 😩"
"1771806881","3838516789139870528","We had us a nice long weekend at the beach…. But here we are trying to get through Airport security , left my passport up front in the machine hear a man yelling my full name through the quiet destin airport
Gets to be the “ Random” who gets cloth checked for explosives. 
Aces bags lit the whole place up  bc he had a bottle full of slime. Now my Face is burning up feeling like I gave a fever. 😭

God get us HOME Safe! I want to be in my own bed."
"1771764291","3838159519423694703","How does silver not rhyme with fever?"
"1771806642","3838514787894472937","Because the word is ‘fever’ and not ‘filver’."
"1771791282","3838385940788210019","Kia howa apko"
"1771806498","3838513579616409637","Fever 🤒 🤧"
