"created_at","text","id"
"Thu May 22 23:59:45 +0000 2025","Dimples Romana really gave justice sa pag-portray bilang ina nung Maguad siblings, sobrang galing kase kitang-kita yung mga emosyon ng isang ina na nawalan ng mga anak — yung galit, yung sakit, yung gigil, and even yung pagsisisi rin na iniwan niya sila nung araw na iyon :(((","tweet-1925703159839621432"
"Thu May 22 23:59:38 +0000 2025","Hate na hate ko makarinig ng ai talaga.  Pero tong fam ko puro ai naman pinapakinggan. Sakit sa ulo. 😣","tweet-1925703128038400207"
"Thu May 22 23:59:27 +0000 2025","Lagi sakit gini bawaan nya pengen mati","tweet-1925703081079029922"
"Thu May 22 23:59:15 +0000 2025","Cek reply nya, sorry ya, gk ush ngerasa user Twitter itu paling bermoral &amp; pinter, kalian itu cuma berisik aja dan sakit jiwa, mental maling di normalisasi 🤣. Ini user2 Twitter banyak yg middle low blm dpt kesempatan korup kali y? Kl ada kesempatan jg mrk jabanin kyk nya.","tweet-1925703030948684194"
"Thu May 22 23:59:09 +0000 2025","Kalian gatau gmn aku dan perasaanku milih jalan ini, aku cm gamau salah pilih orang yang berujung aku rusak dan menderita nantinya. 

Kalopun yg kupilih ini benar, aku sendiri yg nanggung berat2nya. Sakit kali kurasa, jd jgn desak apapun dan tolong cukup didoakan aja","tweet-1925703006273626449"
"Thu May 22 23:58:50 +0000 2025","super sakit ng ulo ko 😭😭😭","tweet-1925702927139623105"
"Thu May 22 23:58:37 +0000 2025","@afrizalns_ itu video yg kedua pasti sakit bgt wkwk","tweet-1925702871648989371"
"Thu May 22 23:58:29 +0000 2025","hampir semua pandemic &amp; masalah kesehatan dia biarin aja loh sampe jadi wabah. orang kesehatan sampe kewalahan. padahal esensi dia punya kuasa bukan semata mata sakit jadi cuan, kecuali emang dia diperintahkan pemerintah skrg untuk bikin orang sakit biar jadi cuan. satanisme itu","tweet-1925702841227682261"
"Thu May 22 23:58:21 +0000 2025","wala nang lagnat 🤩🤩🤩","tweet-1925702805932662912"
"Thu May 22 23:58:00 +0000 2025","tolooong sakit kepalaa","tweet-1925702720029073741"
"Thu May 22 23:57:56 +0000 2025","@neVerAl0nely Sakit jiwa nih..","tweet-1925702702438199439"
"Thu May 22 23:57:51 +0000 2025","babi pala gue sakit lagi 😔😔😔","tweet-1925702679092686979"
"Thu May 22 23:57:42 +0000 2025","yawa sakit ng mata ko namamaga sa kakaiyak ko sa exo kagabi, bwiset na tiktok yan","tweet-1925702643902451924"
"Thu May 22 23:57:26 +0000 2025","halos 4 hrs lang ang tulog, grabe ba? sakit sa ulo with matching hilo pa 😭","tweet-1925702577116647803"
"Thu May 22 23:57:20 +0000 2025","Sakit na sa likooooood","tweet-1925702549392302215"
"Thu May 22 23:57:15 +0000 2025","@athaamuzh_ @RFritzy_JKT48 Sakit jantung mungkin","tweet-1925702528131269109"
"Thu May 22 23:57:01 +0000 2025","pagi pagi uda sakit dada kaya digebuk bug","tweet-1925702468840645023"
"Thu May 22 23:56:56 +0000 2025","eh apaan nanya² gugel gemini disuruh ke ugd jir ndik siap kena mamai (blom lapor samsek kalau sakit)😭😭","tweet-1925702450436046945"
"Thu May 22 23:56:50 +0000 2025","sakit sa mata ng “didn’t came”","tweet-1925702425442168977"
"Thu May 22 23:56:40 +0000 2025","Kayaknya akun ku udah parah bgt sakit nya, pasrah aja deh, aku ikut GA di beberapa tempat jg pasti g keliatan thread ku, cuma mau nyelesaiin GA yg aku ikutin, ntah bakal ke hitung atau g😮‍💨mungkin blm rezekiku😞stlh itu mau rest dulu dr akun ini 😞🙏","tweet-1925702384270872766"
"Tue Apr 22 23:59:22 +0000 2025","sakit ko na talaga to HAHAHAHAHAH","tweet-1914831426010112461"
"Tue Apr 22 23:59:22 +0000 2025","@whydonustay Kudu bayar asuransi rumah sakit dulu biar sembuh 😭","tweet-1914831425918120026"
"Tue Apr 22 23:59:21 +0000 2025","@shazeeiza Kalau minum kopi bikin sakit perut, mending nggaa usah","tweet-1914831421237289206"
"Tue Apr 22 23:59:19 +0000 2025","@PensilAajaib Lebih deg degan jantungnya saat terima amplop telegram..
MENINGGAL?
SAKIT PARAH?
KECELAKAAN?
KIRIM UANG SEGERA?🤣🤣🤣🤣🤣","tweet-1914831414115352917"
"Tue Apr 22 23:58:54 +0000 2025","Ciput premium beneran mantul gak bikin sakit kuping😂","tweet-1914831310331502689"
"Tue Apr 22 23:58:52 +0000 2025","@love3ffect Coba di bawa istirahat dulu.. kalau emang udah ngerasa parah sampai sakit better check ke dokter deh","tweet-1914831298260095460"
"Tue Apr 22 23:58:34 +0000 2025","@convomf Gamau ngehujat sender krn pernah di posisi yg sama. Nder, gaboleh gt lagi ya? Don’t invest your feelings TOO MUCH on someone. Cintai secukupnya, bergantung sewajarnya. Lebih sakit kehilangan diri sendiri drpd laki-laki. You’re worth.","tweet-1914831224734187636"
"Tue Apr 22 23:58:30 +0000 2025","@cmsukaicel gw lg sakit jo","tweet-1914831209575981404"
"Tue Apr 22 23:58:30 +0000 2025","kaget 😆 baru pagi udah rapor merah banget ini, emang sedang tidak baik-baik saja ternyata 🤣harus izin sakit hari ini daripada nanti tumbang 😅 https://t.co/DQsnnRblFH","tweet-1914831206631530934"
"Tue Apr 22 23:58:18 +0000 2025","Keren bgt buat ibu2 dehhhh. Apalagi ibu hamil yg tiap pagi kudu ngerasain mual muntah. Aku aja yg muntah2 tiap mens udah ngerasa “anjirr udah sakit perut kudu muntah2 oge”","tweet-1914831157566550252"
"Tue Apr 22 23:58:08 +0000 2025","@scallfaro AKHIRNYA 😭 ga sakit lg akun ini","tweet-1914831115187315045"
"Tue Apr 22 23:58:01 +0000 2025","dagu gua iritasi sakit bet","tweet-1914831087748178019"
"Tue Apr 22 23:57:56 +0000 2025","gue ngeluh sakit dan pegel pegel dari smlm krn gue cm bisa di kasur gabisa ngapa ngapain suntuk, bnrn sakit unbearable 

lalu pagi ini mungkin keluhan gue didengar ya d4r4h di infus gue bececeran di kasur di celana di bed cover trs gue diharuskan ganti itu semua sendiri 😀😀😀","tweet-1914831067363901459"
"Tue Apr 22 23:57:39 +0000 2025","@areichandesu_ sakit bgt ya itu ma kak","tweet-1914830994139701525"
"Tue Apr 22 23:57:39 +0000 2025","Tiap dengerin lagu Mangu masih sakit ajaa wkwkwk","tweet-1914830993418273106"
"Tue Apr 22 23:57:36 +0000 2025","gak mood kerja sakit bgt perutku lagi haid arghhh mau bobokkkk 😭😭😭🫠🫠🫠😔","tweet-1914830981674229791"
"Tue Apr 22 23:57:22 +0000 2025","@ajunvkyu Km sakit apaa","tweet-1914830921720860803"
"Tue Apr 22 23:57:16 +0000 2025","ini kebanyakan ketawa rahang gua sakit bngt","tweet-1914830898467627316"
"Tue Apr 22 23:57:07 +0000 2025","Gak lagi sedih ataupun sakit hati, tapi cuma pengen repost. Buat temen-temen semangat menjalani kehidupan yaa! You're great, biidznillah 👍👌 
Niatkan segalanya untuk beribadah hanya kepada Allah 💖🌷","tweet-1914830857933873493"
"Tue Apr 22 23:56:56 +0000 2025","Gak pernah nyangka bakal ngerasain bulak balik ugd rumah sakit","tweet-1914830812144656456"
"Sat Jun 21 23:59:50 +0000 2025","Tiap malem nangis karna ada aja yg sakit, tulangku sampe sekarang masih sakit semua😭, gpp still lov u ayang.","tweet-1936574814170517681"
"Sat Jun 21 23:59:48 +0000 2025","@SB19MemeVice @SB19Official Wala po ata sa bokabularyo nila ang hindi masyado nakapagperform dahil may sakit o pagod! Ganyan po sila ka professional! Pagaling po!

SB19 UNLEASHED IN TAIWAN
@SB19Official
#SB19atHitoPop2025","tweet-1936574808294375746"
"Sat Jun 21 23:59:47 +0000 2025","@ody_odyaja Asli buat tetangga yg sekompleks perumahan ama si sender pliss, kalian muncul bkin kesaksian jga biar itu anak dan menantu di penjara, gilakk loh dibiarin sakit smpe meninggal sendirian dibiarin berhari-hari anjing, tuh anak bedua hrs dipenjara anjg, penelantaran ini aplgi sampe-","tweet-1936574804674703589"
"Sat Jun 21 23:59:47 +0000 2025","aguii haha sakit ng song","tweet-1936574802820771868"
"Sat Jun 21 23:59:39 +0000 2025","ini tenggorokan sakit bgt rasanya kaya kebakar","tweet-1936574769924833573"
"Sat Jun 21 23:59:36 +0000 2025","@kompascom Pasti ada akun ternak abah yang kepanasan &amp; sakit hati 😁😁😁","tweet-1936574755521638709"
"Sat Jun 21 23:59:34 +0000 2025","@vikririzk @ody_odyaja Wow mending coba rasain ditelantarin anak dengan diusir keluar rumah dari jam 5 pagi sampe jam 11 siang ga dikasih makan dan ga diurus saat sakit selama 3 hari kak","tweet-1936574747451731983"
"Sat Jun 21 23:59:20 +0000 2025","idup random bgt, tbtb sakit gigi","tweet-1936574691063611685"
"Sat Jun 21 23:58:55 +0000 2025","@DokterTifa Yg sakit itu kau dokter tipu😂🤣","tweet-1936574583861350838"
"Sat Jun 21 23:58:54 +0000 2025","@panggilajanakyy EH ITU SAKIT BGTTT PLS","tweet-1936574581432836252"
"Sat Jun 21 23:58:33 +0000 2025","@MUSIKMENFESS Kenriz - sakit hati
https://t.co/yVLS61hEME","tweet-1936574492157104128"
"Sat Jun 21 23:58:29 +0000 2025","ang sakit ng katawan ko pero all worth it. 
good morning to my jaywon ❤️✨

#WALK_THE_LINE_IN_BANGKOK 
#정원 #제이 #JUNGWON #JAY #JAYWON
#ジョンウォン #エンハイプン 
#ENHYPEN #엔하이픈 https://t.co/wkPmcaVApb","tweet-1936574477007261881"
