"created_at","id","text"
"Mon Feb 23 00:48:23 +0000 2026","tweet-2025734447858065621","hindi raw makakapunta si kuya here kasi may lagnat siya huhuhu pano na yan bukas na 2nd namin😞😞😞😞"
"Mon Feb 23 00:44:53 +0000 2026","tweet-2025733569650549138","HAHAHAHA punyeta nu naman magagawa nyang get well message na yan sa lagnat ko di ba"
"Mon Feb 23 00:05:12 +0000 2026","tweet-2025723582341648778","@beyamx Ay HAHAHA pero legit may sipon nga naman ako 😂 sige valid valid HAHAHA"
"Mon Feb 23 00:04:43 +0000 2026","tweet-2025723459389833525","@blankcode_x may ganto kaseee 🤧 kala ko may sipon sorryyy HAHAHAHAAHHAHAHA LT"
"Sun Feb 22 22:50:12 +0000 2026","tweet-2025704707310891320","pagod na pagod at antok na antok ako, nag alarm me para sana mag laba right now kasoo super sakit ng katawan kkk"
"Sun Feb 22 22:01:04 +0000 2026","tweet-2025692340560826701","inubo tsaka sipon pa, punyeta thank u so"
"Sun Feb 22 20:46:38 +0000 2026","tweet-2025673610782965844","wmsu may lagnat ako, pls paki suspend ng class"
"Sun Feb 22 20:20:00 +0000 2026","tweet-2025666906749845533","Doble ingat po dahil flu season pa rin ngayon, ayon sa health department. Sa gitna niyan, may paalala ang mga doktor lalo na kung mahigit isang linggo na ang inyong ubo at sipon. https://t.co/dbx6LT7yt6"
"Sun Feb 22 20:07:37 +0000 2026","tweet-2025663791233667328","I should've stayed at my room the whole time 😭😭😭 ngayon my sipon at sore throat na ko taenaaa boses pa nmn puhunan sa work"
"Sun Feb 22 20:07:23 +0000 2026","tweet-2025663731716542611","Pagod na pagod nako gusto kona talaga haha"
"Sun Feb 22 19:54:57 +0000 2026","tweet-2025660602417635556","Tanginang lagnat yan di na natapos"
"Sun Feb 22 19:24:16 +0000 2026","tweet-2025652880544526697","pagod na pagod eee sleepwelll https://t.co/UCPBzQD3xH"
"Sun Feb 22 19:24:14 +0000 2026","tweet-2025652875003642174","@krchivesz HAHAHAHAAH pagod na pagod si Enrico!! 🤣🤣🤣🤣🤣"
"Sun Feb 22 18:56:50 +0000 2026","tweet-2025645979207451078","pagod na pagod na mabuhay sa fu is king life na to"
"Sun Feb 22 18:50:31 +0000 2026","tweet-2025644388647641381","@Godfath52464383 Amravati side yala mhanje matthyala burhani mhantat.
Lagnat jevan madhe most commonly Biryani aani burhani aste"
"Sun Feb 22 18:47:04 +0000 2026","tweet-2025643521181438137","taenang sipon, hindi na nawala"
"Sun Feb 22 18:21:59 +0000 2026","tweet-2025637206954840204","wrong timing ang ubo’t sipon! bahala na laturrrrr"
"Sun Feb 22 18:20:54 +0000 2026","tweet-2025636934953898405","@ARYSabirShakir Hum saro pai lagnat baijty hai only #ImranKhan"
"Sun Feb 22 18:19:48 +0000 2026","tweet-2025636656787927175","di naman kasi ako kinakabahan kahit na konti ohhhhhh mautal sa pag sagot sa tinatanong at iniisip nyo saakin about sa itsura ko🤣
medyo basag kalang onti nay anak mo mismong patunay magmula umaga hanggang gabi alam nyan ginagawa ko sa araw araw🤣 panong di papayat daily lagnat🤣"
"Sun Feb 22 18:09:39 +0000 2026","tweet-2025634104696623125","pagod na pagod na naman ako sa lahat leche. burnout szn b uli? the fuck."
"Sun Feb 22 18:00:01 +0000 2026","tweet-2025631678337839354","Sa buong katawan ko at isip ko iba. Para akong nababaliw kanina di Ako mapakali . Na parang walang maayos na pwesto na makakapag ease ng cramps. Tas yung feeling din na kinokumbulsion ka pero wala Kang lagnat ganun Ako kanina. Di Ako makatayo ng maayos. Tas d na rin maayos+"
"Sun Feb 22 17:55:11 +0000 2026","tweet-2025630463826788791","nakakawala pala ng lagnat ang rh"
"Sun Feb 22 17:46:24 +0000 2026","tweet-2025628251713118614","Pagod na pagod na ako Lord, 😭 wala man lang ako mapagsabihan 😭😭😭"
"Sun Feb 22 17:44:15 +0000 2026","tweet-2025627713244172502","taas hilanat,labadi sa ulo, ga lain pa gyud ang tiyan cge balik2 sa cr nya sakit pa sa pus on. grabi na mani pag antus tawn"
"Sun Feb 22 17:37:39 +0000 2026","tweet-2025626051347640727","Do I really deserve this? Kasi honestly pagod na pagod na akong tanungin kung anong mali sa'kin. I give love the only way I know how. Buong buo, may effort, may lambing, may pag intindi. Hindi naman ako humihingi ng sobra, gusto ko lang maramdaman na pinipili rin ako."
"Sun Feb 22 17:34:26 +0000 2026","tweet-2025625241213661363","kaenes na pimple at sipon"
"Sun Feb 22 17:26:06 +0000 2026","tweet-2025623142874644778","ang iyakin ko talaga sa lagnat haha"
"Sun Feb 22 16:44:01 +0000 2026","tweet-2025612554186486090","Pagod na pagod na yung katawan at utak ko gusto ko nang matulog pero annetoooo"
"Sun Feb 22 16:39:58 +0000 2026","tweet-2025611534400164303","pinilit pa kasi mag data gathering kahit may sakit na. oh eto malalang lagnat + backpain https://t.co/pmSt4TQoaV"
