"created_at","collected_at_utc","id","text","view_count","retweet_count","reply_count","favorite_count"
"Thu Feb 26 23:22:37 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027162417369866492","sana alam ng mga tao sa messenger ko na wala akong oras sakanila KFKSKWBQJQABAHZBSNAB emi gagoh pagod na pagod na ko mag org puchaaa","10","0","0","0"
"Thu Feb 26 23:15:08 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027160534567862700","never ending midnight sipon","14","0","0","0"
"Thu Feb 26 22:54:51 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027155429332295731","pagod na pagod ako pls","1","0","0","0"
"Thu Feb 26 22:48:36 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027153855193219555","Ano meron, may lagnat ba c viva, may HIMALA, pero slmat na rin

#AshDres https://t.co/BVwYakSecc","52","0","0","0"
"Thu Feb 26 22:46:55 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027153431623020896","@flexingmybb Sweeett 😭 bat kasi pagod na pagod yung katawang lupa ko di tuloy nakasama","1","0","0","0"
"Thu Feb 26 22:32:03 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027149692149412084","inuubo't sipon na ba ang lahat 🫩","120","0","1","5"
"Thu Feb 26 22:28:08 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027148706831810825","lala ng lagnat ko sumabay pa talaga sa exam week","7","0","0","0"
"Thu Feb 26 22:27:05 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027148439361081715","Bahala na Lord, basta kahit may sipon ako and masama pakiramdam, mag-o-onsite aq","3","0","0","0"
"Thu Feb 26 22:23:20 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027147497152393383","rest so much well and now, I feel so much better parang wala na akong sipon, boy bawang lang pala ang katapat lol","4","0","0","0"
"Thu Feb 26 21:58:14 +0000 2026","2026-02-26T23:29:37.135202+00:00","tweet-2027141179868062141","Pota hindi matuloy tuloy pag malapit na ko gumaling sinat nalang babalik lagnat ko taina","11","0","0","0"
