"created_at","id","text"
"Mon Feb 16 15:43:37 +0000 2026","tweet-2023423024998035904","“kahit na pagod na pagod na siya, hindi yan titigil”
- Tita Bing

kaya pala nung sa baso, subrang willing niya na dagdagan kasi hindi siya titigil hanggat hindi comfortable ang new family niya 😭😭😭😭

BBS MIGUEL
#PBBCollab20Ultim8Sacrifice
 https://t.co/AgxYuCelAX"
"Fri Feb 13 13:29:46 +0000 2026","tweet-2022302179781144587","Original Song 

Sorry may sipon haha https://t.co/3nKzlrNo2Y"
"Sun Feb 15 22:00:00 +0000 2026","tweet-2023155358563520987","“Marami sa atin ang may iniindang sakit na hindi nakikita: lungkot, takot, pagod, galit, panghihina ng loob, kawalan ng pag-asa,” Ayuban told church-goers during the Mass.

 https://t.co/jY4VjQQxDq"
"Thu Feb 19 04:56:21 +0000 2026","tweet-2024347299401650338","Itong super saiyan yung isa sa mga songs nila na kahit pagod na pagod ka, nagiging hyper ka padin kapag pini-perform na nila on stage!!! 

#G22TheFirstConcert @G22Official"
"Tue Feb 17 23:08:56 +0000 2026","tweet-2023897482540052573","For the tamlay daw c Jema kagabi at may sipon pagaling accla😍😍 https://t.co/5106ELIZkR"
"Fri Feb 13 08:20:27 +0000 2026","tweet-2022224335583555983","Mag-ingat sa Influenza-Like Illness (ILI)!
Ang ILI ay maaaring magsimula sa simpleng ubo, sipon, lagnat, at pananakit ng katawan. Ugaliin ang tamang paghuhugas ng kamay, pagsuot ng mask kung may sakit, at agad na magpatingin sa health center kung may nararamdamang sintomas. https://t.co/YjMXhNyYy6"
"Mon Feb 16 15:25:33 +0000 2026","tweet-2023418480968774142","Yung mga senyales na kinikilig at nahihiya si Moymoy, parang sintomas din ng may lagnat! 

Heath endorsing Biogesic in the future with the signature salute and ""Ingat!"" sa dulo. 🫡 #amats

BBS HEATH po!
#PBBCollab20Ultim8Nomi https://t.co/g1SpJ90wQC"
"Wed Feb 18 12:08:10 +0000 2026","tweet-2024093583905546597","pagod na pagod ang baby na yan akala mo sampu ang sinusuportahan eh hahahahah  https://t.co/VVtm6rEi6I"
"Fri Feb 13 17:18:00 +0000 2026","tweet-2022359614181044246","Kahit anong Viarkin mo ngayon di na ko maniniwala boss. Nakarami kang ambang kiss don ah hahahahaha

Pag may lagnat kailangan may kiss?? @itswilbertross 😂 https://t.co/cdhoYXohL1"
"Mon Feb 16 11:01:15 +0000 2026","tweet-2023351968304115932","Pleaseeee langggg bigyan ng hustisya ang tax namin! pagod na pagod na sa inyo si Ayef! miss you so much our Ayef and Manny! 143 sa inyo! ikulong ang mga kurakot! namimiss na rin namin ang mga halaman ni manny!

DONBELLE NEW MOVIE 

#DonBelle 
#TayoSaWakas 
#NewMovieAlert https://t.co/IUjbO9vKWQ"
"Tue Feb 10 03:18:15 +0000 2026","tweet-2021061120057016738","I think Stell gives the best and most genuine hugs. Kung ako yakapin nya ng ganyan baka bigla ako magbreakdown tapos magsusumbong ako sa kanya na pagod na pagod nako sa layf hahahahah 🥲 https://t.co/Qm63j94ywU"
"Sun Feb 15 08:28:23 +0000 2026","tweet-2022951109275587013","Pagod na pagod na pagod na pagod na pagod na ko!

#OustSergio https://t.co/xXLwLNh2TA"
"Wed Feb 11 01:06:22 +0000 2026","tweet-2021390320903258262","Feeling ko tumatana na talaga ako kasi bakit nagsasalabat ako imbes na kape ngayong umaga? 😂 Lamang ang may sipon eme 😭 https://t.co/pe6ES31VPI"
"Thu Feb 19 04:00:00 +0000 2026","tweet-2024333117952045415","Muling tinurong dahilan ni dating pangulong Rodrigo Duterte ang panghihina ng kaniyang katawan sa planong hindi pagdalo sa confirmation of charges hearing ng ICC.

Kaugnay na ulat: https://t.co/TuhXq4KCnM https://t.co/WQIsrzBZyb"
"Mon Feb 16 12:30:36 +0000 2026","tweet-2023374451228954624","Jusko pang ilang content na to, pagod na pagod na ang babu ko 🥺🥺🥺🥺 https://t.co/8ZdZ3FiTY5"
"Thu Feb 19 14:07:46 +0000 2026","tweet-2024486069774012769","@talmejes kala ko naiinitan sila? bakit parang nilalamig tong dalawa sa sobrang dikit"
"Mon Feb 16 16:53:12 +0000 2026","tweet-2023440538444484748","Pagod na pagod. He didn't even do anything today 😒 https://t.co/qOtapEqhsI"
"Sun Feb 15 06:23:03 +0000 2026","tweet-2022919567836880956","manalo lang talaga si tala mamaya papayapa na buhay ko pagod na pagod na ako sa votings na yan awa nalang 😭"
"Fri Feb 13 07:14:49 +0000 2026","tweet-2022207818464735702","good morning bossing ko @bini_colet!! ang cute mo pa rin kahit may sakit ka at nagbubbles pa sipon. get well soon po!! lablab 🥹🫶💚 https://t.co/t0hBnz4TIP"
"Sun Feb 15 13:23:17 +0000 2026","tweet-2023025320417509441","I know it’s been so draining lately. Ako nga na nagbabasa lang, pagod na pagod at nasasaktan, ikaw pa kaya? So please, rely on us. Know that we are always here. Ipaglalaban kita palagi. Please keep wearing your confidence and your beautiful smile, our Woongki boy!!"
"Fri Feb 13 10:11:12 +0000 2026","tweet-2022252205802393686","@Prithvi10_ @sachin_rt Poracha baap nivant asto lagnat https://t.co/sIRMGBMouX"
"Thu Feb 12 13:48:12 +0000 2026","tweet-2021944427716260052","KAYA PALA PAGOD NA PAGOD AKO THESE DAYS, WALA AKONG ""PAHINGA"""
"Sun Feb 15 17:18:34 +0000 2026","tweet-2023084535068664078","@talmejes Pagod na pagod na ako sa mga yan

BBS CARMELLE
IN KRYSTAL WE TRUST"
"Wed Feb 18 15:18:11 +0000 2026","tweet-2024141399654846662","Pagod na pagod na si Lord sa inyo mga enemels kayo!. Lagi niyo nalang siya dinadamay!. Kapag ayan talaga sumagot na si Lord sa inyo 🤦‍♀️. 

Sabi tumawag kayo at magdasal, hindi yung inutusan kayo kuno ni Lord na mag resign at tumakbo. Mga ebas niyo!  🥲"
"Thu Feb 12 07:28:03 +0000 2026","tweet-2021848760301797429","nag improv class ba si joy barcoma? ngayon ko lang nakitang pagod na pagod sila baus at macoy sa podcast. taas ng energy ni badeng"
"Wed Feb 11 04:17:40 +0000 2026","tweet-2021438462554202546","minsan gusto kong magcheckout sa shopee, kapag pagod na pagod na 'ko? @ShopeePH @clfrnia_maki 🎵🧡"
"Sat Feb 14 11:45:25 +0000 2026","tweet-2022638304290914537","ちゃんボケさんと！ https://t.co/ngv1HRD6sE"
"Mon Feb 16 05:07:10 +0000 2026","tweet-2023262859933933595","Mt. Mariglem hike short story.

may effect yung init sa balat ko kahapon na  para akong may tigdas. pag-uwi, sa byahe ayun nilagnat na ako, masakit ulo, i have sipon after the summit &amp; a cough na sinisumpong 😷. 

Mabuti i have Bioflu! okay na ako.
@unilab_ph @dustinyuu #KayaAll https://t.co/USEHGPz6hL"
"Wed Feb 18 22:10:23 +0000 2026","tweet-2024245136528466018","Ang kiss daw ay nakakawala ng pagod. Kaya pala pagod na pagod na pagod na si ako. Hahahaha 🤔😛😝😜🤪😋 https://t.co/DRRh6YJQ5k"
