id,post_id,disease_label,confidence_score,is_human_validated,created_at
a1111111-1111-4111-8111-111111111111,11111111-1111-4111-8111-111111111111,AURI,0.91,true,2026-03-05T02:10:00Z
a2222222-2222-4222-8222-222222222222,22222222-2222-4222-8222-222222222222,Pneumonia,0.82,false,2026-03-05T02:10:00Z
a3333333-3333-4333-8333-333333333333,33333333-3333-4333-8333-333333333333,AURI,0.88,false,2026-03-05T02:10:00Z
a4444444-4444-4444-8444-444444444444,44444444-4444-4444-8444-444444444444,TB,0.94,true,2026-03-05T02:10:00Z
a5555555-5555-4555-8555-555555555555,55555555-5555-4555-8555-555555555555,Pneumonia,0.86,false,2026-03-05T02:10:00Z
a6666666-6666-4666-8666-666666666666,66666666-6666-4666-8666-666666666666,COVID-19,0.96,true,2026-03-05T02:10:00Z
a7777777-7777-4777-8777-777777777777,77777777-7777-4777-8777-777777777777,AURI,0.74,false,2026-03-05T02:10:00Z
a8888888-8888-4888-8888-888888888888,88888888-8888-4888-8888-888888888888,COVID-19,0.64,false,2026-03-05T02:10:00Z
a9999999-9999-4999-8999-999999999999,55555555-5555-4555-8555-555555555555,COVID-19,0.41,false,2026-03-05T02:10:00Z
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaaa,22222222-2222-4222-8222-222222222222,TB,0.33,false,2026-03-05T02:10:00Z
