"uyek",
"aguy-uyek",
"aguyek",
"uy-uyek",
"napigsa nga uyek",
"nabayag nga uyek",
"agtultuloy nga uyek",
"saan nga agsardeng nga uyek",
"adda plema",
"adda arem",
"nakapal ti plema",
"nakapal ti arem",
"yellow ti plema",
"yellow ti arem",
"green ti plema",
"green ti arem",
"nangisit ti plema",
"nangisit ti arem",
"aguyek iti dara",
"adda dara ti plema",
"adda dara ti arem",
"narigat ti panaganges",
"narigat aganges",
"marigatan aganges",
"agkurang ti anges",
"saan a makanges",
"saan a makanges a nasayaat",
"napaspas ti anges",
"agsagitsit ti anges",
"gurigor",
"adda gurigor",
"aggurigor",
"napudot ti bagi",
"nag-init ti bagi",
"agpupuor ti bagi",
"agkintayeg",
"nalamiis ti bagi",
"nalamiis ngem napudot ti bagi",
"agsakit ti barukong",
"nasakit ti barukong",
"mabug-at ti barukong",
"natangken ti barukong",
"agsupsupit ti barukong",
"sip-on",
"adda sip-on",
"agayus ti agong",
"naserraan ti agong",
"nairut ti agong",
"agtartaraok",
"agsakit ti karabukob",
"nasakit ti karabukob",
"agling-et iti rabii",
"ling-et iti rabii",
"bumabbaba ti timbang",
"nagkurang ti timbang",
"awan gana",
"nakapuy ti bagi",
"awan pigsak",
"nabannog",
"saan a makaanggo",
"awan angot",
"saan a makaraman",
"awan raman",
"napuyat",
"awan turog",
"narigat ti panagturog",
"dakes ti rikna",
"saan a nasayaat ti rikna",
"nagsakit ti bagi",
"nasakit ti bagi",
"agsakit ti ulo",
"nakabannog",
"nalabes nga ling-et iti rabii",
"narigat ti agtalon",
"namaga ti karabukob",
"nangisit ti karabukob"
