"ilocano",
"Nakakapoy",
"Narigrigat ti anges",
"Nakapal ti ulen",
"Nagsugpet ti agong",
"Nagsipnget ti barukong",
"Nalidem ti barukong",
"Mabug-at ti barukong",
"Nangisit ti mula",
"Nagpupuraw ti mata",
"Nagsugpet ti lalamunan",
"Nagsupsupit ti barukong",
"Dakes ti panagrikna",
"Nalamiis ngem init ti bagi",
"hiligaynon",
"Gal-um",
"Hubak",
"Nagakabuhi ang lalamunan",
"Ginakapoy",
"Ginkurian",
"Katubig-tubig",
"Daw maluya",
"Indi maayo ang pamati",
"Nagapalangga ang lawas",
"Nagapungot ang ilong",
"Naga-ulaw",
"Ginagal-um ang dughan",
"Bug-at ang dughan",
"Nagaipit ang dughan",
"Nagapaso ang dughan",
"Ginabuhian ang lalamunan",
"Puno ang ulo"
