number,value,datetime_start,datetime_complete,duration,params_alpha,params_max_iter,params_penalty,state
0,0.7118193891102258,2026-05-29 14:38:58.287660,2026-05-29 14:38:58.726768,0 days 00:00:00.439108,3.1489116479568635e-05,1250,l2,COMPLETE
1,0.6472303206997084,2026-05-29 14:38:58.727306,2026-05-29 14:39:00.144274,0 days 00:00:01.416968,4.207053950287936e-06,2500,l1,COMPLETE
2,0.6528497409326425,2026-05-29 14:39:00.144828,2026-05-29 14:39:00.874557,0 days 00:00:00.729729,1.2087541473056965e-06,1250,l2,COMPLETE
3,0.6440922190201729,2026-05-29 14:39:00.875210,2026-05-29 14:39:02.230471,0 days 00:00:01.355261,5.415244119402541e-06,1500,l1,COMPLETE
4,0.7157057654075547,2026-05-29 14:39:02.230918,2026-05-29 14:39:03.234516,0 days 00:00:01.003598,0.0002801635158716259,2000,elasticnet,COMPLETE
5,0.6762589928057554,2026-05-29 14:39:03.234957,2026-05-29 14:39:03.945340,0 days 00:00:00.710383,0.0013826232179369874,1000,elasticnet,COMPLETE
6,0.7165354330708661,2026-05-29 14:39:03.945781,2026-05-29 14:39:04.953588,0 days 00:00:01.007807,0.000269264691008618,3000,elasticnet,COMPLETE
7,0.6718528995756718,2026-05-29 14:39:04.954022,2026-05-29 14:39:05.627874,0 days 00:00:00.673852,0.0017123375973163992,1750,elasticnet,COMPLETE
8,0.6789250353606789,2026-05-29 14:39:05.628280,2026-05-29 14:39:07.250527,0 days 00:00:01.622247,3.0771802712506896e-06,1500,elasticnet,COMPLETE
9,0.7061252580867171,2026-05-29 14:39:07.250956,2026-05-29 14:39:08.222382,0 days 00:00:00.971426,0.0004467752817973908,1250,elasticnet,COMPLETE
10,0.6723404255319149,2026-05-29 14:39:08.222824,2026-05-29 14:39:08.649771,0 days 00:00:00.426947,0.00660788318947445,3000,l2,COMPLETE
11,0.7257617728531855,2026-05-29 14:39:08.650209,2026-05-29 14:39:10.001717,0 days 00:00:01.351508,0.00012452668108659282,2250,elasticnet,COMPLETE
12,0.723202170963365,2026-05-29 14:39:10.002139,2026-05-29 14:39:10.693412,0 days 00:00:00.691273,4.909138671701476e-05,3000,elasticnet,COMPLETE
13,0.7171853856562923,2026-05-29 14:39:10.693834,2026-05-29 14:39:11.462507,0 days 00:00:00.768673,3.299263281612615e-05,2500,elasticnet,COMPLETE
14,0.7225201072386059,2026-05-29 14:39:11.462983,2026-05-29 14:39:12.146621,0 days 00:00:00.683638,5.532404803221544e-05,2250,elasticnet,COMPLETE
15,0.6615276804484933,2026-05-29 14:39:12.147026,2026-05-29 14:39:13.268746,0 days 00:00:01.121720,1.282981191858371e-05,2750,l1,COMPLETE
16,0.7257955314827352,2026-05-29 14:39:13.269155,2026-05-29 14:39:14.602277,0 days 00:00:01.333122,0.00014060591691798184,2250,elasticnet,COMPLETE
17,0.7255172413793104,2026-05-29 14:39:14.602682,2026-05-29 14:39:15.980635,0 days 00:00:01.377953,0.00012915629316911416,2000,elasticnet,COMPLETE
18,0.6598500340831629,2026-05-29 14:39:15.981073,2026-05-29 14:39:16.572855,0 days 00:00:00.591782,0.001223759424719128,2250,l1,COMPLETE
19,0.7227118644067797,2026-05-29 14:39:16.573252,2026-05-29 14:39:16.963121,0 days 00:00:00.389869,9.841756758357965e-05,2250,l2,COMPLETE
