number,value,datetime_start,datetime_complete,duration,params_C,params_max_iter,state
0,0.6648575305291723,2026-05-29 14:39:18.423946,2026-05-29 14:39:20.137287,0 days 00:00:01.713341,0.03148911647956861,2500,COMPLETE
1,0.710801393728223,2026-05-29 14:39:20.137818,2026-05-29 14:39:52.584892,0 days 00:00:32.447074,0.847180141881998,1800,COMPLETE
2,0.6409060626249167,2026-05-29 14:39:52.585456,2026-05-29 14:39:54.130987,0 days 00:00:01.545531,0.004207988669606638,1000,COMPLETE
3,0.6357000663570007,2026-05-29 14:39:54.131401,2026-05-29 14:39:55.714772,0 days 00:00:01.583371,0.0017073967431528124,2300,COMPLETE
4,0.6945205479452055,2026-05-29 14:39:55.715179,2026-05-29 14:39:59.505196,0 days 00:00:03.790017,0.25378155082656645,2000,COMPLETE
5,0.6273458445040214,2026-05-29 14:39:59.505620,2026-05-29 14:40:01.057709,0 days 00:00:01.552089,0.0012087541473056963,2500,COMPLETE
6,0.6997840172786177,2026-05-29 14:40:01.058123,2026-05-29 14:40:26.465441,0 days 00:00:25.407318,2.136832907235876,1100,COMPLETE
7,0.6426229508196721,2026-05-29 14:40:26.466083,2026-05-29 14:40:27.951988,0 days 00:00:01.485905,0.005337032762603957,1100,COMPLETE
8,0.6614069690992768,2026-05-29 14:40:27.952512,2026-05-29 14:40:29.484053,0 days 00:00:01.531541,0.016480446427978974,1700,COMPLETE
9,0.6771331058020478,2026-05-29 14:40:29.484459,2026-05-29 14:40:30.992598,0 days 00:00:01.508139,0.05342937261279776,1300,COMPLETE
10,0.6769683590875644,2026-05-29 14:40:30.992980,2026-05-29 14:41:09.288906,0 days 00:00:38.295926,7.606194283024027,1600,COMPLETE
11,0.693000693000693,2026-05-29 14:41:09.290288,2026-05-29 14:41:26.179388,0 days 00:00:16.889100,0.7279036052811607,800,COMPLETE
12,0.6968197879858657,2026-05-29 14:41:26.179816,2026-05-29 14:41:58.004686,0 days 00:00:31.824870,2.5260087039881864,1500,COMPLETE
13,0.7101648351648352,2026-05-29 14:41:58.005506,2026-05-29 14:42:23.622003,0 days 00:00:25.616497,0.5095419115634497,1900,COMPLETE
14,0.6957104557640751,2026-05-29 14:42:23.623739,2026-05-29 14:42:27.469708,0 days 00:00:03.845969,0.2141663023220563,1900,COMPLETE
15,0.7046215673141326,2026-05-29 14:42:27.471351,2026-05-29 14:43:04.551233,0 days 00:00:37.079882,0.6319985658496069,2100,COMPLETE
16,0.7153075822603719,2026-05-29 14:43:04.553181,2026-05-29 14:43:39.500459,0 days 00:00:34.947278,1.0642919042160008,1900,COMPLETE
17,0.6730627306273063,2026-05-29 14:43:39.501248,2026-05-29 14:44:28.524260,0 days 00:00:49.023012,9.172085770710554,2200,COMPLETE
18,0.7020818377602297,2026-05-29 14:44:28.524997,2026-05-29 14:45:04.909836,0 days 00:00:36.384839,2.087104605490962,1800,COMPLETE
19,0.6820966643975493,2026-05-29 14:45:04.910394,2026-05-29 14:45:07.413967,0 days 00:00:02.503573,0.1004911834903585,1400,COMPLETE
