number,value,datetime_start,datetime_complete,duration,params_alpha,params_max_iter,params_penalty,state
0,0.6865671641791045,2026-05-29 14:45:42.762472,2026-05-29 14:45:43.567829,0 days 00:00:00.805357,3.1489116479568635e-05,1250,l2,COMPLETE
1,0.6431718061674009,2026-05-29 14:45:43.568464,2026-05-29 14:45:45.053833,0 days 00:00:01.485369,4.207053950287936e-06,2500,l1,COMPLETE
2,0.6376360808709176,2026-05-29 14:45:45.055357,2026-05-29 14:45:46.027726,0 days 00:00:00.972369,1.2087541473056965e-06,1250,l2,COMPLETE
3,0.6426470588235295,2026-05-29 14:45:46.028144,2026-05-29 14:45:47.330692,0 days 00:00:01.302548,5.415244119402541e-06,1500,l1,COMPLETE
4,0.7133243606998654,2026-05-29 14:45:47.331116,2026-05-29 14:45:48.441623,0 days 00:00:01.110507,0.0002801635158716259,2000,elasticnet,COMPLETE
5,0.676510067114094,2026-05-29 14:45:48.442080,2026-05-29 14:45:49.431057,0 days 00:00:00.988977,0.0013826232179369874,1000,elasticnet,COMPLETE
6,0.7135135135135136,2026-05-29 14:45:49.431496,2026-05-29 14:45:50.500285,0 days 00:00:01.068789,0.000269264691008618,3000,elasticnet,COMPLETE
7,0.667989417989418,2026-05-29 14:45:50.500729,2026-05-29 14:45:51.451613,0 days 00:00:00.950884,0.0017123375973163992,1750,elasticnet,COMPLETE
8,0.6409090909090909,2026-05-29 14:45:51.452040,2026-05-29 14:45:52.876155,0 days 00:00:01.424115,3.0771802712506896e-06,1500,elasticnet,COMPLETE
9,0.6983050847457627,2026-05-29 14:45:52.876573,2026-05-29 14:45:53.909724,0 days 00:00:01.033151,0.0004467752817973908,1250,elasticnet,COMPLETE
10,0.6576637407157326,2026-05-29 14:45:53.910144,2026-05-29 14:45:54.801755,0 days 00:00:00.891611,0.00660788318947445,3000,l2,COMPLETE
11,0.7142857142857143,2026-05-29 14:45:54.802165,2026-05-29 14:45:55.966695,0 days 00:00:01.164530,0.00012452668108659282,2250,elasticnet,COMPLETE
12,0.7019299499642602,2026-05-29 14:45:55.967125,2026-05-29 14:45:56.867793,0 days 00:00:00.900668,4.909138671701476e-05,3000,elasticnet,COMPLETE
13,0.7138888888888889,2026-05-29 14:45:56.868215,2026-05-29 14:45:58.050063,0 days 00:00:01.181848,0.00013725581279505652,2500,elasticnet,COMPLETE
14,0.7004470938897168,2026-05-29 14:45:58.050473,2026-05-29 14:45:59.032427,0 days 00:00:00.981954,2.191745054989328e-05,2500,elasticnet,COMPLETE
15,0.6990291262135923,2026-05-29 14:45:59.033293,2026-05-29 14:46:00.012186,0 days 00:00:00.978893,0.00014698251207077184,2500,l1,COMPLETE
16,0.7067879636109167,2026-05-29 14:46:00.012617,2026-05-29 14:46:00.879248,0 days 00:00:00.866631,7.81878282490397e-05,2250,elasticnet,COMPLETE
17,0.6835820895522388,2026-05-29 14:46:00.879695,2026-05-29 14:46:01.900844,0 days 00:00:01.021149,1.9367283524941703e-05,2250,elasticnet,COMPLETE
18,0.6610288935870331,2026-05-29 14:46:01.901290,2026-05-29 14:46:02.840327,0 days 00:00:00.939037,0.001223759424719128,2750,l1,COMPLETE
19,0.6466984343090538,2026-05-29 14:46:02.840747,2026-05-29 14:46:03.662607,0 days 00:00:00.821860,0.009639757903159522,2000,l2,COMPLETE
